...1,grupo,separado_clasica,separado_arbol,magnitude
1,C-B,TRUE,TRUE,large
2,G5-B,TRUE,TRUE,large
3,G6-B,TRUE,TRUE,large
4,I-B,TRUE,TRUE,large
5,P-B,TRUE,TRUE,large
6,G5-C,TRUE,TRUE,large
7,G6-C,FALSE,FALSE,small
8,I-C,TRUE,TRUE,large
9,P-C,TRUE,TRUE,large
10,G6-G5,TRUE,TRUE,large
11,I-G5,TRUE,TRUE,large
12,P-G5,FALSE,TRUE,large
13,I-G6,TRUE,TRUE,large
14,P-G6,FALSE,TRUE,large
15,P-I,TRUE,TRUE,large
1,C-B,TRUE,TRUE,large
2,G5-B,TRUE,TRUE,large
3,G6-B,TRUE,TRUE,large
4,I-B,TRUE,TRUE,large
5,P-B,TRUE,TRUE,large
6,G5-C,TRUE,TRUE,large
7,G6-C,FALSE,FALSE,negligible
8,I-C,TRUE,TRUE,large
9,P-C,FALSE,TRUE,moderate
10,G6-G5,TRUE,TRUE,large
11,I-G5,TRUE,TRUE,large
12,P-G5,TRUE,TRUE,large
13,I-G6,TRUE,TRUE,large
14,P-G6,FALSE,TRUE,large
15,P-I,TRUE,TRUE,large
1,C-B,TRUE,TRUE,large
2,G5-B,FALSE,TRUE,moderate
3,G6-B,TRUE,TRUE,large
4,I-B,TRUE,TRUE,large
5,P-B,TRUE,TRUE,large
6,G5-C,TRUE,TRUE,large
7,G6-C,FALSE,FALSE,negligible
8,I-C,TRUE,TRUE,large
9,P-C,FALSE,TRUE,moderate
10,G6-G5,TRUE,TRUE,large
11,I-G5,TRUE,TRUE,large
12,P-G5,TRUE,TRUE,large
13,I-G6,TRUE,TRUE,large
14,P-G6,TRUE,TRUE,large
15,P-I,TRUE,TRUE,large
1,C-B,TRUE,TRUE,large
2,G5-B,TRUE,TRUE,large
3,G6-B,TRUE,TRUE,large
4,I-B,TRUE,TRUE,large
5,P-B,TRUE,TRUE,large
6,G5-C,TRUE,TRUE,large
7,G6-C,FALSE,FALSE,negligible
